song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,audio_valence
62,195666,0.0171,0.58,0.981,1.07E-05,8,0.386,-2.603,0.06,134.007,0.861
77,304840,0.000202,0.602,0.905,0.064,2,0.117,-4.046,0.0775,128.019,0.411
79,232533,0.872,0.657,0.291,0,2,0.114,-10.572,0.0293,103.973,0.298
28,303920,0.0102,0.44,0.932,0,3,0.142,-4.488,0.0584,157.438,0.495
78,176346,2.64E-05,0.38,0.988,7.86E-05,1,0.368,-2.042,0.0639,186.113,0.769
77,311106,0.000289,0.217,0.905,0.00011,2,0.222,-4.103,0.0752,96.95,0.236
71,213106,0.0156,0.714,0.725,0,4,0.0726,-6.411,0.0402,99.988,0.59
11,262733,0.000194,0.582,0.597,0.000273,5,0.517,-5.671,0.0512,167.738,0.674
77,293960,0.00797,0.614,0.568,0,7,0.0997,-5.477,0.0276,107.849,0.516
65,264706,0.00189,0.509,0.774,0.000549,6,0.143,-4.054,0.0338,116.529,0.0824
75,231480,0.00461,0.498,0.83,0,6,0.139,-5.157,0.0421,89.342,0.453
74,213760,0.00506,0.599,0.932,0,9,0.269,-3.328,0.18,96.234,0.692
74,178266,0.000618,0.574,0.911,0,9,0.0769,-5.176,0.0715,98.075,0.573
11,269373,0.000917,0.433,0.959,0,9,0.028,-4.04,0.0431,172.984,0.365
73,242280,0.00164,0.549,0.93,6.67E-05,5,0.39,-3.468,0.0487,112.447,0.526
74,201960,0.00347,0.656,0.932,0.00147,4,0.144,-3.405,0.0708,130.936,0.544
79,229093,0.00898,0.499,0.824,0,7,0.163,-4.741,0.0794,161.977,0.699
70,193373,0.0223,0.624,0.899,0.000155,0,0.0975,-5.71,0.0295,104.055,0.797
60,282946,0.0417,0.545,0.753,0,3,0.389,-4.618,0.036,105.754,0.434
69,200546,5.53E-05,0.374,0.961,0.0834,10,0.138,-4.421,0.0851,167.032,0.357
73,279213,0.000996,0.695,0.876,6.89E-06,3,0.106,-4.262,0.0553,89.954,0.941
62,212733,0.000631,0.246,0.768,0.301,9,0.102,-7.48,0.0387,169.873,0.35
72,256240,0.00834,0.563,0.86,0.0106,8,0.39,-7.533,0.0621,97.867,0.517
